,4/9/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADOS BÁSICOS,,,,,,INFORMAÇÕES COMPLEMENTARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI,25/0664139-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROCESSO,GIIIMP-110/25,REAL,,,,DESCRIÇÃO DA MERCADORIA CONFORME DI 25/0664139-3 DESEMBARAÇADA EM 24/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALOR FOB DOLAR," USD 9,662.84 "," R$ 55,311.06 ",,,,II:," R$ 9,747.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALOR FOB EURO, EUR -   , R$ -   ,,,,IPI:," R$ 3,568.47 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALOR SERVICE CHARGES, USD -   , R$ -   ,,,,PIS:," R$ 1,415.24 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRETE INTERNACIONAL EUR, EUR -   , R$ -   ,,,,COFINS:," R$ 6,959.64 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRETE INTERNACIONAL USD," USD 2,110.60 "," R$ 12,081.29 ",,,,Desp. Aduaneiras:," R$ 2,594.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGURO INTERNACIONAL, USD -   , R$ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRESCIMO DO FRETE EUR, EUR -   , R$ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRESCIMO DO FRETE USD, USD -   , R$ -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALOR CPT," USD 11,773.44 "," R$ 67,392.35 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXA DO DOLAR, 5.7241 , DOLAR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXA DO EURO, -     , EURO ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THC/CAPATAZIA,, USD -   ,,,,QUANTIDADE:,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PESO BRUTO,70.00,,,,,ESPECIE:,CAIXA DE PAPELÃO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PESO LIQUIDO,66.28,   ,,,,PESO BRUTO:,70.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MULTA, R$-   ,,,,,PESO LIQUIDO:,66.2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,LANÇAR NA DI,,,,,,,,ALIQUOTAS,,,,,,,,,,,,,,BASE E VALOR SEM REDUÇÃO,,,,CALCULADOS SEM A BASE REDUZIDA-COLUNAS AL E AM,,,,,,,,,,PREENCHER,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 555.24 , -   , -   , 555.24 , -   ,, -   , -   , -   , 521.63 , -   ," 3,795.00 "," 1,518.00 ",, 5.7241 ," 55,773.91 ",,
